,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
8519,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,356000,3423,1,APARTMENT,5,2,104,0,0,0,1,9,0,0,3,0,1,0
8521,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,599000,3462,1,APARTMENT,5,2,173,0,0,0,1,53,0,0,3,0,0,0
8522,5.380064364430568,49.966023829437134,6800,1,4,Libramont-Chevigny,329000,413,0,HOUSE,6,3,195,0,0,0,1,35,1,600,4,0,0,0
8523,3.276541129725285,50.81548648715903,8500,2,10,Kortrijk,295000,3641,1,APARTMENT,5,2,81,0,0,0,1,4,0,0,2,0,0,1
8524,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,675000,1849,0,APARTMENT_BLOCK,4,6,365,0,0,0,1,17,0,0,2,0,0,0
8525,3.6785357740312907,51.07386417979972,9030,2,9,Gent,345000,4423,1,PENTHOUSE,6,2,78,0,0,0,1,5,0,0,2,0,0,1
8527,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,449000,2878,0,HOUSE,5,2,156,0,0,0,1,6,0,0,2,0,0,0
8529,5.5464915208551835,50.59505274799415,4102,1,7,Seraing,89000,1618,0,HOUSE,6,1,55,0,0,0,1,14,0,0,2,0,0,0
8530,2.920364240174513,51.204054302137884,8400,2,10,Oostende,139000,712,1,APARTMENT,3,1,95,0,0,0,1,10,1,100,2,0,0,0
8531,3.2588654806261412,51.31166474283851,8301,2,10,Knokke-Heist,745000,4408,1,APARTMENT,5,3,169,0,0,0,1,22,0,0,2,0,1,1
8532,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,155000,2500,1,APARTMENT,6,1,62,0,0,0,1,9,0,0,2,0,1,1
8534,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,170000,1683,1,APARTMENT,0,2,101,0,0,0,1,3,0,0,2,0,0,1
8535,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,349000,2684,1,APARTMENT,0,3,130,0,0,0,1,10,0,0,3,0,0,0
8536,3.720262345300755,51.053260703972086,9000,2,9,Gent,539000,4277,1,APARTMENT,5,3,126,1,0,0,1,26,0,0,2,0,0,1
8537,2.920364240174513,51.204054302137884,8400,2,10,Oostende,349000,3490,1,APARTMENT,5,2,100,0,0,0,1,14,0,0,2,0,0,1
8538,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,229000,652,0,HOUSE,5,4,136,1,0,0,1,15,1,215,3,0,0,0
8540,5.42914187160935,50.64214218719312,4460,1,7,Grâce-Hollogne,220000,698,0,MIXED_USE_BUILDING,4,5,255,0,0,0,1,45,1,60,2,0,0,0
8541,5.181064535082792,50.49945695953772,4500,1,7,Huy,179000,1808,0,HOUSE,6,3,99,0,0,0,1,21,0,0,3,0,0,0
8542,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,995000,2090,0,APARTMENT_BLOCK,6,5,398,0,0,0,1,13,1,78,2,0,0,1
8543,2.920364240174513,51.204054302137884,8400,2,10,Oostende,270000,3214,1,APARTMENT,4,2,84,0,0,0,1,2,0,0,2,0,0,1
8544,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,645000,6450,1,PENTHOUSE,2,2,100,0,0,0,1,60,0,0,2,0,0,1
8545,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,445000,1654,1,DUPLEX,6,3,269,0,0,0,1,20,0,0,2,0,0,0
8546,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,425000,5985,1,DUPLEX,6,2,71,1,0,0,1,8,0,0,2,0,0,0
8547,4.047007532896995,50.941780843882924,9300,2,9,Aalst,349000,2624,0,HOUSE,0,2,108,0,0,0,1,7,1,25,3,0,0,0
8551,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,800000,3555,0,HOUSE,6,5,225,0,0,0,1,15,0,0,3,0,0,0
8553,3.2588654806261412,51.31166474283851,8301,2,10,Knokke-Heist,440000,3636,1,APARTMENT,6,2,90,0,0,0,1,10,1,31,2,0,0,1
8554,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,522500,5225,1,APARTMENT,5,2,100,1,0,0,1,18,0,0,2,0,1,1
8556,3.772807392554319,51.103064477304066,9041,2,9,Gent,399000,1995,0,HOUSE,5,3,200,0,0,0,1,25,0,0,4,0,0,0
8557,4.46823712928013,51.215898155997046,2100,2,8,Antwerpen,174000,2383,1,APARTMENT,6,2,73,0,0,0,1,12,0,0,4,0,0,1
8558,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,300000,3529,1,APARTMENT,6,2,85,1,0,0,1,25,0,0,2,0,0,0
8559,4.44450162313264,51.25156639821808,2170,2,8,Antwerpen,195000,2321,1,APARTMENT,6,2,84,0,0,0,1,5,0,0,2,0,0,1
8560,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,215000,1869,1,APARTMENT,0,3,115,0,0,0,1,2,0,0,2,0,0,0
8561,4.736791897843723,50.88954206447257,3010,2,6,Leuven,635000,3628,0,HOUSE,5,3,175,0,0,0,1,13,0,0,2,0,0,0
8562,3.2071828570336303,51.232646001171425,8000,2,10,Brugge,445000,2781,0,HOUSE,6,3,160,1,0,0,1,30,0,0,2,0,0,0
8563,4.293920189965437,50.86465279974552,1082,0,0,Berchem-Sainte-Agathe,385000,1604,0,HOUSE,6,2,165,0,0,0,1,15,1,75,2,0,0,0
8564,4.408236007087518,50.87001921742844,1140,0,0,Evere,249000,2929,1,APARTMENT,6,2,85,0,0,0,1,8,0,0,2,0,0,1
8566,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,275000,2894,1,APARTMENT,6,2,95,0,0,0,1,4,0,0,2,0,0,1
8567,2.920364240174513,51.204054302137884,8400,2,10,Oostende,215000,3467,1,APARTMENT,6,2,62,0,1,0,1,12,0,0,2,0,0,1
8568,2.7761610348929397,51.15486680637328,8434,2,10,Middelkerke,235000,3092,1,APARTMENT,5,2,76,0,0,0,1,2,0,0,2,0,0,0
8569,3.720262345300755,51.053260703972086,9000,2,9,Gent,675000,4141,1,APARTMENT,6,3,163,0,0,0,1,8,0,0,2,0,0,1
8571,4.854539162275639,50.457759547420494,5000,1,1,Namur,499000,4495,1,APARTMENT,5,2,111,1,0,0,1,33,0,0,3,0,0,1
8573,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,790000,4093,1,APARTMENT,5,3,193,0,0,0,1,16,0,0,2,0,0,1
