,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
0,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,895000,3129,1,DUPLEX,0,3,286,1,0,0,1,30,0,0,2,0,0,0
1,4.361370487792108,50.78987082854528,1180,0,0,Uccle,685000,5393,1,PENTHOUSE,2,2,127,0,0,0,1,55,0,0,4,0,0,1
3,3.7083253028608065,51.00344710907644,9052,2,9,Gent,429210,4292,1,APARTMENT,0,2,100,1,0,0,1,12,0,0,3,0,0,1
5,4.047007532896995,50.941780843882924,9300,2,9,Aalst,359000,197,0,HOUSE,5,3,122,0,0,0,1,30,1,1700,2,0,0,0
7,3.720262345300755,51.053260703972086,9000,2,9,Gent,560000,3684,0,HOUSE,6,4,152,0,0,0,1,23,0,0,2,0,0,1
8,4.156645019474472,51.16368187628335,9100,2,9,Sint-Niklaas,395000,3464,1,APARTMENT,0,3,114,0,0,0,1,9,0,0,2,0,0,1
9,4.408236007087518,50.87001921742844,1140,0,0,Evere,389000,4523,1,APARTMENT,5,2,86,1,1,0,1,8,0,0,2,0,1,1
10,3.8707194000984635,51.00236028375542,9230,2,9,Wetteren,342000,1988,1,DUPLEX,5,2,172,1,0,0,1,11,0,0,2,0,0,0
11,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,350000,3723,1,APARTMENT,5,2,94,0,0,0,1,13,0,0,2,0,0,1
12,4.854539162275639,50.457759547420494,5000,1,1,Namur,219000,2920,1,APARTMENT,6,2,75,0,0,0,1,5,0,0,2,0,0,1
13,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,655000,3852,1,APARTMENT,6,3,170,1,0,0,1,22,0,0,2,0,0,1
16,3.2071828570336303,51.232646001171425,8000,2,10,Brugge,295000,3277,0,HOUSE,6,2,90,0,0,0,1,13,0,0,2,0,0,0
18,2.920364240174513,51.204054302137884,8400,2,10,Oostende,222000,3126,1,APARTMENT,6,2,71,0,0,0,1,7,0,0,2,0,0,0
21,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,315000,611,0,HOUSE,6,3,195,0,0,0,1,20,1,320,2,0,0,0
24,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,495000,5265,1,APARTMENT,5,2,94,1,0,0,1,24,0,0,2,0,1,1
25,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,329000,1687,0,HOUSE,0,5,195,0,0,0,1,18,0,0,4,0,0,0
27,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,280000,3294,1,APARTMENT,3,2,85,0,0,0,1,3,0,0,2,0,0,1
28,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,375000,3289,1,DUPLEX,3,3,114,0,0,0,1,9,0,0,2,0,0,0
29,4.691098755030863,50.85734711667344,3001,2,6,Leuven,550000,1361,0,HOUSE,3,4,204,0,0,0,1,8,1,200,2,0,0,0
30,4.471344481505892,50.845386982127444,1950,2,6,Kraainem,895000,913,0,HOUSE,6,6,280,0,0,0,1,50,1,700,3,0,0,0
31,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,695000,2171,0,HOUSE,3,4,255,0,0,0,1,15,1,65,2,0,0,0
32,5.42914187160935,50.64214218719312,4460,1,7,Grâce-Hollogne,285000,1075,0,HOUSE,2,3,105,0,0,0,1,40,1,160,2,0,0,0
33,4.46823712928013,51.215898155997046,2100,2,8,Antwerpen,154000,2200,1,APARTMENT,5,2,70,0,0,0,1,4,0,0,2,0,0,0
35,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,329000,4112,1,APARTMENT,5,2,80,1,0,0,1,2,0,0,2,0,0,0
36,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,790000,4202,1,PENTHOUSE,5,3,188,1,0,1,1,20,0,0,2,0,0,1
40,5.380064364430568,49.966023829437134,6800,1,4,Libramont-Chevigny,119000,1307,0,HOUSE,4,3,91,0,0,0,1,13,0,0,3,0,0,0
42,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,290000,3372,1,APARTMENT,6,2,86,0,0,0,1,7,0,0,2,0,0,1
43,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,229000,2632,1,APARTMENT,6,2,87,1,0,0,1,3,0,0,2,0,0,0
45,4.609958977641858,50.72477661519289,1300,1,3,Wavre,325000,3611,1,APARTMENT,0,2,90,0,0,0,1,4,0,0,2,0,0,1
46,5.5464915208551835,50.59505274799415,4102,1,7,Seraing,160000,1391,0,HOUSE,6,2,85,0,0,0,1,20,1,30,2,0,0,0
47,4.366142301894997,50.64114510796939,1428,1,3,Braine-l'Alleud,309000,1080,0,COUNTRY_COTTAGE,3,3,136,0,0,1,1,16,1,150,3,0,0,0
51,3.2724169340982785,51.21677335757064,8310,2,10,Brugge,465000,2235,0,TOWN_HOUSE,5,3,208,0,0,0,1,45,0,0,3,0,0,0
52,3.720262345300755,51.053260703972086,9000,2,9,Gent,399000,3764,1,APARTMENT,5,2,106,0,0,0,1,14,0,0,2,0,0,1
56,4.376134025032607,51.248447820724365,2060,2,8,Antwerpen,209000,1685,1,APARTMENT,3,1,56,0,0,0,1,4,1,68,2,0,0,1
57,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,470000,4519,1,APARTMENT,5,2,104,1,0,0,1,8,0,0,4,0,1,1
59,2.920364240174513,51.204054302137884,8400,2,10,Oostende,599000,4643,1,APARTMENT,5,3,129,1,1,0,1,6,0,0,2,0,0,1
60,4.403520554166193,50.70976366812478,1410,1,3,Waterloo,349000,2860,1,APARTMENT,5,3,122,0,0,0,1,2,0,0,4,0,0,1
63,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,299000,1590,0,HOUSE,5,5,138,0,0,0,1,20,1,50,3,0,1,0
64,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,469000,2791,1,GROUND_FLOOR,6,2,104,0,0,0,1,35,1,64,2,0,0,1
65,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,699000,6852,1,APARTMENT,6,2,102,1,1,0,1,7,0,0,2,0,0,1
66,5.638561209383813,50.639959100598105,4020,1,7,Liège,219000,2517,1,APARTMENT,5,2,87,0,0,0,1,8,0,0,2,0,0,0
67,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,560000,4179,1,DUPLEX,5,2,134,1,0,0,1,7,0,0,3,0,0,0
68,5.535060559845203,50.629837917805894,4420,1,7,Saint-Nicolas,270000,2347,0,BUNGALOW,6,2,90,0,1,0,1,110,1,25,3,0,0,0
69,4.428578360497885,50.93012891009888,1800,2,6,Vilvoorde,259000,4177,1,APARTMENT,6,2,62,0,0,0,1,2,0,0,2,0,0,0
71,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,495000,5265,1,APARTMENT,5,2,94,1,0,0,1,24,0,0,2,0,1,1
72,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,515000,5000,1,PENTHOUSE,6,2,103,1,0,0,1,42,0,0,2,0,1,1
75,4.736791897843723,50.88954206447257,3010,2,6,Leuven,685000,3186,0,HOUSE,5,3,215,0,0,0,1,13,0,0,2,0,0,0
76,4.361370487792108,50.78987082854528,1180,0,0,Uccle,295000,3314,1,APARTMENT,6,1,89,0,0,0,1,2,0,0,2,0,0,1
78,3.6770404444377904,51.020835067310294,9051,2,9,Gent,325000,4012,1,APARTMENT,6,1,81,1,0,0,1,13,0,0,2,0,0,0
79,4.30932217692078,50.90957954247929,1780,2,6,Wemmel,435000,977,0,APARTMENT_BLOCK,3,2,445,0,0,0,1,6,0,0,3,0,0,0
80,5.577531125648646,50.59185028437595,4000,1,7,Liège,159000,1558,0,HOUSE,0,3,87,0,0,0,1,32,1,15,2,0,0,0
81,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,499000,3642,1,APARTMENT,6,2,137,0,0,0,1,9,0,0,2,0,0,1
82,2.9773784952722453,51.23671218246712,8450,2,10,Bredene,229000,3053,1,APARTMENT,6,2,75,1,1,0,1,10,0,0,2,1,0,1
84,5.611819695855508,50.62614473189009,4030,1,7,Liège,239000,702,0,HOUSE,6,3,130,0,0,0,1,25,1,210,2,0,0,0
85,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,649000,2565,1,GROUND_FLOOR,5,1,160,0,0,0,1,18,1,93,2,0,0,1
86,3.720262345300755,51.053260703972086,9000,2,9,Gent,394500,3400,1,APARTMENT,0,2,116,0,0,0,1,10,0,0,2,0,0,1
87,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,445000,3708,1,APARTMENT,5,3,120,0,0,0,1,6,0,0,2,0,1,1
88,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,194900,2598,1,APARTMENT,6,2,75,0,0,0,1,3,0,0,2,0,0,1
91,4.941172558459968,50.80922727420936,3300,2,6,Tienen,230000,1755,1,PENTHOUSE,4,4,131,0,0,0,1,15,0,0,2,0,0,0
92,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,364000,3872,1,APARTMENT,6,2,94,0,0,0,1,13,0,0,2,0,0,1
94,5.508048762890354,50.58496196593964,4100,1,7,Seraing,219000,1288,0,HOUSE,0,3,90,0,0,0,1,60,1,80,3,0,1,0
95,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,540000,4821,1,APARTMENT,5,2,112,1,0,0,1,11,0,0,2,0,1,1
96,4.375234148039785,50.87298266192055,1130,0,0,Bruxelles,227749,3450,1,APARTMENT,5,1,66,1,0,0,1,14,0,0,3,0,1,1
97,4.609958977641858,50.72477661519289,1300,1,3,Wavre,315000,3888,1,APARTMENT,0,1,81,0,0,0,1,10,0,0,2,0,0,1
100,5.577531125648646,50.59185028437595,4000,1,7,Liège,599000,1188,0,HOUSE,6,6,404,0,0,0,1,25,1,100,2,0,0,0
101,3.720262345300755,51.053260703972086,9000,2,9,Gent,425000,3346,1,APARTMENT,6,3,127,0,0,0,1,4,0,0,2,0,0,1
102,2.7761610348929397,51.15486680637328,8434,2,10,Middelkerke,249000,3661,1,APARTMENT,2,1,68,0,1,0,1,6,0,0,2,0,0,0
103,5.902807377719397,50.59238313745336,4801,1,7,Verviers,169000,510,0,HOUSE,3,2,85,0,0,0,1,12,1,246,4,0,0,0
104,5.508048762890354,50.58496196593964,4100,1,7,Seraing,210000,369,0,HOUSE,2,3,199,0,0,0,1,30,1,370,3,0,0,0
105,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,1185000,9404,1,APARTMENT,5,2,126,0,0,0,1,20,0,0,3,0,0,1
106,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,340000,3578,1,APARTMENT,5,2,95,1,0,0,1,16,0,0,2,0,0,1
108,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,999900,4999,0,APARTMENT_BLOCK,6,3,200,0,0,0,1,20,0,0,3,0,0,0
109,4.468101716569333,51.03007676437425,2800,2,8,Mechelen,340800,3550,1,APARTMENT,0,2,96,1,0,0,1,9,0,0,2,0,0,1
111,4.561792200549251,51.13160180554329,2500,2,8,Lier,665000,1572,0,HOUSE,5,4,288,1,0,1,1,32,1,135,2,0,0,0
112,3.7694068345287524,51.06701435001319,9040,2,9,Gent,390000,1857,1,APARTMENT,0,4,210,0,0,0,1,2,0,0,2,0,0,0
113,3.720262345300755,51.053260703972086,9000,2,9,Gent,379000,2746,0,APARTMENT_BLOCK,3,3,138,0,0,0,1,3,0,0,2,0,0,0
114,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,179000,497,0,HOUSE,6,2,108,0,0,0,1,21,1,252,3,0,0,0
115,5.181064535082792,50.49945695953772,4500,1,7,Huy,499000,1934,1,DUPLEX,5,5,258,1,0,1,1,27,0,0,4,0,0,0
116,4.47820494125249,50.88338465440317,1930,2,6,Zaventem,850000,334,0,HOUSE,5,7,540,1,0,0,1,30,1,2000,4,0,0,0
117,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,465000,5054,1,PENTHOUSE,2,1,92,0,0,1,1,18,0,0,2,0,0,0
124,4.324177215886155,50.814084975691195,1190,0,0,Forest,299000,3602,1,APARTMENT,5,2,83,1,0,0,1,8,0,0,4,0,1,1
125,3.8691914611452813,50.75631465402039,9500,2,9,Geraardsbergen,259000,1288,0,HOUSE,3,3,201,0,0,0,1,43,0,0,2,0,0,0
126,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,249900,2630,1,APARTMENT,6,2,95,0,0,0,1,8,0,0,2,0,0,0
127,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,328000,2902,1,DUPLEX,5,2,113,0,0,0,1,15,0,0,2,0,0,0
128,4.2578958901376485,50.84856042288083,1700,2,6,Dilbeek,599000,1242,0,HOUSE,0,3,182,1,0,0,1,75,1,300,4,0,0,0
129,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,895000,2944,1,APARTMENT,5,3,304,1,0,0,1,10,0,0,3,0,0,1
131,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,185000,4512,1,FLAT_STUDIO,5,0,41,1,0,0,1,3,0,0,2,0,1,0
132,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,1100000,2910,0,HOUSE,0,5,378,0,0,1,1,34,0,0,4,0,0,0
133,2.5945876048058936,51.0704142079429,8660,2,10,De Panne,239000,3621,1,APARTMENT,6,1,66,0,0,0,1,12,0,0,2,0,0,1
134,4.361370487792108,50.78987082854528,1180,0,0,Uccle,269000,3842,1,APARTMENT,5,1,70,1,0,0,1,10,0,0,2,0,0,0
136,4.361370487792108,50.78987082854528,1180,0,0,Uccle,1250000,4166,1,APARTMENT,6,4,300,1,0,0,1,29,0,0,2,0,0,1
137,5.577531125648646,50.59185028437595,4000,1,7,Liège,369000,263,1,APARTMENT,6,3,200,0,0,0,1,200,1,1200,4,0,1,1
138,4.408236007087518,50.87001921742844,1140,0,0,Evere,219000,4380,1,PENTHOUSE,6,1,50,0,0,0,1,30,0,0,3,0,0,1
140,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,695000,5515,1,APARTMENT,5,3,126,1,0,0,1,16,0,0,2,0,1,1
141,4.361370487792108,50.78987082854528,1180,0,0,Uccle,499000,3539,1,APARTMENT,6,3,141,1,0,0,1,4,0,0,2,0,0,0
143,3.772807392554319,51.103064477304066,9041,2,9,Gent,299000,3359,1,APARTMENT,5,2,89,1,0,0,1,10,0,0,2,0,0,1
144,4.707202587569181,50.92127141131543,3012,2,6,Leuven,498000,2075,0,HOUSE,6,5,240,0,0,0,1,48,0,0,3,1,0,0
146,5.577531125648646,50.59185028437595,4000,1,7,Liège,215000,2287,1,APARTMENT,6,2,94,0,0,0,1,7,0,0,2,0,0,1
147,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,315000,3150,1,APARTMENT,6,3,100,0,0,0,1,8,0,0,2,0,0,1
149,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,265000,2789,1,APARTMENT,0,2,95,0,0,0,1,11,0,0,2,0,1,1
151,2.920364240174513,51.204054302137884,8400,2,10,Oostende,495000,3300,1,APARTMENT,6,3,150,0,1,0,1,30,0,0,2,0,0,0
152,4.408236007087518,50.87001921742844,1140,0,0,Evere,340000,4358,1,APARTMENT,5,2,78,1,0,0,1,7,0,0,2,0,0,1
153,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,450000,1551,0,HOUSE,3,3,215,0,0,1,1,5,1,75,3,0,0,0
155,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,219000,2380,1,APARTMENT,6,2,92,0,0,0,1,6,0,0,3,0,0,1
156,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,385500,2658,1,APARTMENT,5,3,145,0,0,0,1,9,0,0,2,0,0,1
158,3.6075931433164605,50.749709459509745,9600,2,9,Renaix,135000,1708,1,APARTMENT,6,2,79,0,0,0,1,12,0,0,2,0,0,1
159,3.611088262898648,50.848018865686875,9700,2,9,Oudenaarde,195000,1611,1,APARTMENT,6,2,121,0,1,0,1,10,0,0,2,0,0,1
160,4.293920189965437,50.86465279974552,1082,0,0,Berchem-Sainte-Agathe,330000,3666,1,APARTMENT,5,2,90,1,0,0,1,27,0,0,2,0,1,1
161,5.577531125648646,50.59185028437595,4000,1,7,Liège,199900,869,0,HOUSE,6,6,230,0,0,0,1,6,0,0,2,0,0,0
162,4.44450162313264,51.25156639821808,2170,2,8,Antwerpen,179000,2081,1,APARTMENT,2,2,86,0,0,0,1,4,0,0,2,0,0,1
164,2.920364240174513,51.204054302137884,8400,2,10,Oostende,234000,3342,1,APARTMENT,6,2,70,0,0,0,1,2,0,0,2,0,0,1
165,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,275000,2644,1,APARTMENT,6,2,104,0,0,0,1,22,0,0,2,0,0,1
166,4.444865773892291,51.2119968157408,2140,2,8,Antwerpen,174000,2718,1,APARTMENT,6,1,64,0,0,0,1,3,0,0,2,0,0,0
167,5.577531125648646,50.59185028437595,4000,1,7,Liège,189000,879,0,HOUSE,6,3,145,0,1,0,1,85,1,70,2,0,0,0
171,3.6770404444377904,51.020835067310294,9051,2,9,Gent,459000,4250,1,APARTMENT,5,2,108,1,0,0,1,3,0,0,2,0,1,1
172,5.577531125648646,50.59185028437595,4000,1,7,Liège,199000,631,0,HOUSE,6,4,149,0,0,0,1,29,1,166,2,0,0,0
173,3.7075201896052277,51.12040642924183,9940,2,9,Evergem,379000,1343,0,HOUSE,5,3,122,1,0,0,1,15,1,160,3,0,0,0
174,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,999000,2938,1,APARTMENT,5,3,340,0,0,1,1,12,0,0,2,0,1,1
175,5.577531125648646,50.59185028437595,4000,1,7,Liège,249900,961,0,APARTMENT_BLOCK,4,3,200,0,0,0,1,20,1,60,2,0,0,0
177,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,565000,2511,0,APARTMENT_BLOCK,0,3,225,0,0,0,1,9,0,0,2,0,0,0
178,4.468101716569333,51.03007676437425,2800,2,8,Mechelen,339000,2756,0,HOUSE,6,4,123,0,0,0,1,33,0,0,2,0,0,0
179,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,255000,4180,1,APARTMENT,5,1,61,1,0,0,1,18,0,0,2,0,0,1
181,3.720262345300755,51.053260703972086,9000,2,9,Gent,419000,2992,1,APARTMENT,5,3,140,1,0,0,1,15,0,0,2,0,1,1
182,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,275000,3767,1,APARTMENT,6,1,73,0,0,0,1,6,0,0,2,0,0,1
183,3.1177834512642963,50.94625796358603,8800,2,10,Roeselare,179645,2273,1,APARTMENT,6,2,79,0,0,0,1,3,0,0,2,0,0,1
184,4.873254627779406,50.49563850900468,5020,1,1,Namur,275000,1617,1,GROUND_FLOOR,6,2,100,1,0,0,1,1,1,70,2,0,1,0
185,5.380064364430568,49.966023829437134,6800,1,4,Libramont-Chevigny,209000,2679,1,APARTMENT,6,3,78,0,0,0,1,5,0,0,3,0,1,1
186,5.3539234872135655,50.93340823156662,3500,2,2,Hasselt,895000,6258,1,APARTMENT,6,2,143,0,0,0,1,18,0,0,2,0,0,1
187,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,560000,2533,1,DUPLEX,6,2,141,0,0,0,1,14,1,80,2,0,0,0
189,3.2588654806261412,51.31166474283851,8301,2,10,Knokke-Heist,895000,9944,1,APARTMENT,2,2,90,0,0,0,1,1,0,0,2,0,0,1
191,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,805000,6007,1,APARTMENT,0,2,134,0,0,0,1,17,0,0,2,0,0,0
192,3.8707194000984635,51.00236028375542,9230,2,9,Wetteren,427000,2167,0,HOUSE,5,3,121,1,0,0,1,12,1,76,3,0,0,0
194,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,325000,3250,1,APARTMENT,6,2,100,1,0,0,1,9,0,0,2,0,0,1
195,4.471344481505892,50.845386982127444,1950,2,6,Kraainem,1070000,2351,0,HOUSE,5,5,280,1,0,0,1,18,1,175,2,0,0,0
196,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,550000,2750,1,APARTMENT,5,4,200,0,0,0,1,12,0,0,2,0,0,1
200,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,599000,4309,1,PENTHOUSE,5,3,139,1,0,0,1,16,0,0,3,0,0,0
202,4.584311991418305,50.67146356031946,1340,1,3,Ottignies-Louvain-la-Neuve,385000,3290,1,APARTMENT,5,2,117,1,0,0,1,16,0,0,2,0,1,1
203,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,930000,2447,0,HOUSE,5,4,230,1,0,0,1,20,1,150,2,0,0,0
206,4.361370487792108,50.78987082854528,1180,0,0,Uccle,495000,4459,1,APARTMENT,2,3,111,1,0,1,1,43,0,0,3,0,0,1
207,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,990000,6346,1,PENTHOUSE,6,3,156,0,0,0,1,150,0,0,2,0,0,1
208,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,315000,2316,1,PENTHOUSE,6,3,136,0,0,1,1,30,0,0,3,0,1,1
210,3.276541129725285,50.81548648715903,8500,2,10,Kortrijk,995000,3826,0,VILLA,5,3,260,1,0,0,1,40,0,0,3,0,0,1
213,3.720262345300755,51.053260703972086,9000,2,9,Gent,461300,4046,1,GROUND_FLOOR,5,2,114,1,0,0,1,11,0,0,2,0,0,1
214,4.318418678989754,50.85522961973389,1080,0,0,Molenbeek-Saint-Jean,425000,2560,0,HOUSE,4,4,166,0,0,0,1,8,0,0,2,0,0,0
215,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,649000,6978,1,APARTMENT,6,3,93,1,1,0,1,5,0,0,2,0,0,1
216,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,350000,3804,1,APARTMENT,6,2,92,1,0,0,1,24,0,0,3,0,1,1
217,3.331958012765075,51.346651571344495,8300,2,10,Knokke-Heist,495000,3586,1,APARTMENT,6,3,138,1,0,0,1,12,0,0,2,0,1,1
218,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,420000,5121,1,APARTMENT,6,2,82,1,0,0,1,29,0,0,2,0,0,1
220,4.349449465701912,51.17680075275425,2660,2,8,Antwerpen,499000,1609,1,GROUND_FLOOR,5,3,130,0,0,0,1,40,1,180,2,0,0,1
223,2.9773784952722453,51.23671218246712,8450,2,10,Bredene,199000,3109,1,APARTMENT,5,1,64,0,0,0,1,4,0,0,2,0,0,1
224,3.720262345300755,51.053260703972086,9000,2,9,Gent,399000,1995,0,HOUSE,5,3,200,0,0,0,1,25,0,0,4,0,0,0
225,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,425000,2931,1,PENTHOUSE,6,3,145,0,0,0,1,3,0,0,3,0,0,1
227,3.276541129725285,50.81548648715903,8500,2,10,Kortrijk,520000,4642,1,APARTMENT,5,3,112,0,0,0,1,9,0,0,2,0,1,1
228,5.5464915208551835,50.59505274799415,4102,1,7,Seraing,220000,2222,1,APARTMENT,0,2,99,0,0,0,1,5,0,0,2,0,0,1
229,2.920364240174513,51.204054302137884,8400,2,10,Oostende,135000,2014,1,APARTMENT,6,2,67,0,0,0,1,18,0,0,2,0,0,0
230,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,149000,363,0,HOUSE,3,2,60,0,0,0,1,43,1,350,3,0,0,0
231,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,469000,1914,0,HOUSE,5,3,155,1,0,1,1,25,1,90,2,0,0,0
232,3.633046770040216,51.051202535013374,9031,2,9,Gent,595000,2479,0,HOUSE,5,5,240,0,0,0,1,25,0,0,3,0,0,0
233,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,189000,1733,1,APARTMENT,0,3,109,0,0,0,1,12,0,0,2,0,0,1
234,4.376134025032607,51.248447820724365,2000,2,8,Antwerpen,295000,3554,1,APARTMENT,6,2,83,0,0,0,1,2,0,0,2,0,0,1
235,4.387893089723031,51.16429714238415,2610,2,8,Antwerpen,524000,2556,0,HOUSE,5,2,150,0,0,0,1,15,1,55,2,0,0,0
236,5.594986028388135,50.69093418992845,4041,1,7,Herstal,265000,2548,0,HOUSE,6,3,104,0,0,0,1,85,0,0,3,0,0,0
237,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,405000,4132,1,APARTMENT,5,2,98,1,0,0,1,7,0,0,4,0,1,1
239,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,295000,4538,1,APARTMENT,5,1,65,1,0,0,1,4,0,0,2,0,0,1
241,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,530000,4076,1,APARTMENT,5,3,130,1,0,0,1,7,0,0,2,0,0,1
242,4.321383766329789,50.881720021988286,1090,0,0,Jette,395000,1042,1,APARTMENT,6,4,179,1,0,0,1,11,1,200,2,0,1,1
245,4.375234148039785,50.87298266192055,1120,0,0,Bruxelles,195000,3250,1,APARTMENT,3,1,60,0,0,0,1,3,0,0,2,0,0,1
246,4.471344481505892,50.845386982127444,1950,2,6,Kraainem,880000,1651,0,HOUSE,6,5,273,0,0,0,1,25,1,260,3,0,0,0
247,5.624363334016105,50.67921179186858,4040,1,7,Herstal,175000,1114,0,HOUSE,6,4,157,0,0,0,1,35,0,0,3,0,0,0
249,2.920364240174513,51.204054302137884,8400,2,10,Oostende,419000,5303,1,APARTMENT,6,2,79,0,0,0,1,13,0,0,2,0,0,0
251,4.428578360497885,50.93012891009888,1800,2,6,Vilvoorde,229000,2544,1,APARTMENT,6,2,90,0,0,0,1,5,0,0,2,0,0,0
253,5.577531125648646,50.59185028437595,4000,1,7,Liège,89000,2781,1,FLAT_STUDIO,6,1,32,0,0,0,1,14,0,0,2,0,0,1
254,4.431541527426499,50.84789153612173,1200,0,0,Woluwe-Saint-Lambert,495000,5210,1,APARTMENT,5,2,95,1,0,0,1,24,0,0,2,0,1,1
255,4.376134025032607,51.248447820724365,2018,2,8,Antwerpen,575000,2875,1,APARTMENT,2,3,200,0,0,0,1,15,0,0,2,0,0,1
257,4.899775924422468,50.41121198572444,5100,1,1,Namur,270000,2903,1,APARTMENT,5,2,93,1,0,0,1,5,0,0,2,0,1,1
258,4.375234148039785,50.87298266192055,1020,0,0,Bruxelles,405000,1760,0,HOUSE,0,3,130,0,0,0,1,15,1,100,3,0,0,0
259,3.1177834512642963,50.94625796358603,8800,2,10,Roeselare,229269,2762,1,APARTMENT,6,2,83,0,0,0,1,11,0,0,2,0,0,0
260,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,239000,2515,1,APARTMENT,0,3,95,0,0,0,1,12,0,0,2,0,0,0
261,4.344697581912635,50.829476307319766,1060,0,0,Saint-Gilles,365000,6083,1,APARTMENT,5,1,60,1,0,0,1,4,0,0,2,0,1,1
263,4.327273956190343,50.591388384222846,1400,1,3,Nivelles,250000,2551,1,APARTMENT,6,2,98,0,0,0,1,10,0,0,2,1,1,1
264,4.156645019474472,51.16368187628335,9100,2,9,Sint-Niklaas,275000,1718,1,APARTMENT,6,4,160,0,0,0,1,10,0,0,2,0,0,1
267,4.38605713534583,50.861805515601496,1030,0,0,Schaerbeek,230000,3538,1,APARTMENT,6,1,65,0,0,0,1,10,0,0,2,0,0,1
270,4.292904442200332,50.828980275263795,1070,0,0,Anderlecht,154000,3347,1,APARTMENT,6,1,46,0,0,0,1,2,0,0,2,0,0,1
